x, T_15,  T_30, T_60, T_90, T_150, T_210
0.000724, 42.175, 49.5508, 55.5444, 57.239, 57.8537, 57.9028
0.000728, 42.172, 49.5478, 55.5414, 57.236, 57.8507, 57.8998
0.000732, 42.169, 49.5448, 55.5384, 57.2331, 57.8477, 57.8968
0.000736, 42.166, 49.5419, 55.5354, 57.2301, 57.8447, 57.8939
0.00074, 42.1631, 49.5389, 55.5325, 57.2271, 57.8418, 57.8909
0.000744, 42.1601, 49.5359, 55.5295, 57.2241, 57.8388, 57.8879
0.000748, 42.1571, 49.5329, 55.5265, 57.2212, 57.8358, 57.8849
0.000752, 42.1541, 49.53, 55.5235, 57.2182, 57.8328, 57.882
0.000756, 42.1512, 49.527, 55.5206, 57.2152, 57.8299, 57.879
0.00076, 42.1482, 49.524, 55.5176, 57.2123, 57.8269, 57.876
0.000764, 42.1452, 49.521, 55.5146, 57.2093, 57.8239, 57.8731
0.000768, 42.1423, 49.5181, 55.5117, 57.2063, 57.8209, 57.8701
0.000772, 42.1393, 49.5151, 55.5087, 57.2033, 57.818, 57.8671
0.000776, 42.1363, 49.5121, 55.5057, 57.2004, 57.815, 57.8641
0.00078, 42.1333, 49.5092, 55.5027, 57.1974, 57.812, 57.8612
0.000784, 42.1304, 49.5062, 55.4998, 57.1944, 57.8091, 57.8582
0.000788, 42.1274, 49.5032, 55.4968, 57.1915, 57.8061, 57.8552
0.000792, 42.1244, 49.5003, 55.4938, 57.1885, 57.8031, 57.8523
0.000796, 42.1215, 49.4973, 55.4909, 57.1855, 57.8001, 57.8493
0.0008, 42.1185, 49.4943, 55.4879, 57.1825, 57.7972, 57.8463
0.000804, 42.1155, 49.4913, 55.4849, 57.1796, 57.7942, 57.8433
0.000808, 42.1126, 49.4884, 55.482, 57.1766, 57.7912, 57.8404
0.000812, 42.1096, 49.4854, 55.479, 57.1736, 57.7883, 57.8374
0.000816, 42.1066, 49.4824, 55.476, 57.1707, 57.7853, 57.8344
0.00082, 42.1037, 49.4795, 55.4731, 57.1677, 57.7823, 57.8315
0.000824, 42.1007, 49.4765, 55.4701, 57.1647, 57.7794, 57.8285
0.000828, 42.0977, 49.4735, 55.4671, 57.1618, 57.7764, 57.8255
0.000832, 42.0948, 49.4706, 55.4642, 57.1588, 57.7734, 57.8226
0.000836, 42.0918, 49.4676, 55.4612, 57.1558, 57.7705, 57.8196
0.00084, 42.0888, 49.4646, 55.4582, 57.1529, 57.7675, 57.8167
0.000844, 42.0859, 49.4617, 55.4553, 57.1499, 57.7646, 57.8137
0.000848, 42.0829, 49.4587, 55.4523, 57.1469, 57.7616, 57.8107
0.000852, 42.0799, 49.4558, 55.4493, 57.144, 57.7586, 57.8078
0.000856, 42.077, 49.4528, 55.4464, 57.141, 57.7557, 57.8048
0.00086, 42.074, 49.4498, 55.4434, 57.1381, 57.7527, 57.8018
0.000864, 42.0711, 49.4469, 55.4404, 57.1351, 57.7497, 57.7989
0.000868, 42.0681, 49.4439, 55.4375, 57.1321, 57.7468, 57.7959
0.000872, 42.0651, 49.4409, 55.4345, 57.1292, 57.7438, 57.7929
0.000876, 42.0622, 49.438, 55.4316, 57.1262, 57.7408, 57.79
0.00088, 42.0592, 49.435, 55.4286, 57.1233, 57.7379, 57.787
0.000884, 42.0563, 49.4321, 55.4256, 57.1203, 57.7349, 57.7841
0.000888, 42.0533, 49.4291, 55.4227, 57.1173, 57.732, 57.7811
0.000892, 42.0503, 49.4261, 55.4197, 57.1144, 57.729, 57.7781
0.000896, 42.0474, 49.4232, 55.4168, 57.1114, 57.726, 57.7752
0.0009, 42.0444, 49.4202, 55.4138, 57.1085, 57.7231, 57.7722
0.000904, 42.0415, 49.4173, 55.4108, 57.1055, 57.7201, 57.7693
0.000908, 42.0385, 49.4143, 55.4079, 57.1025, 57.7172, 57.7663
0.000912, 42.0355, 49.4114, 55.4049, 57.0996, 57.7142, 57.7634
0.000916, 42.0326, 49.4084, 55.402, 57.0966, 57.7113, 57.7604
0.00092, 42.0296, 49.4054, 55.399, 57.0937, 57.7083, 57.7574
0.000924, 42.0267, 49.4025, 55.3961, 57.0907, 57.7053, 57.7545
0.000928, 42.0237, 49.3995, 55.3931, 57.0878, 57.7024, 57.7515
0.000932, 42.0208, 49.3966, 55.3901, 57.0848, 57.6994, 57.7486
0.000936, 42.0178, 49.3936, 55.3872, 57.0818, 57.6965, 57.7456
0.00094, 42.0149, 49.3907, 55.3842, 57.0789, 57.6935, 57.7427
0.000944, 42.0119, 49.3877, 55.3813, 57.0759, 57.6906, 57.7397
0.000948, 42.0089, 49.3848, 55.3783, 57.073, 57.6876, 57.7368
0.000952, 42.006, 49.3818, 55.3754, 57.07, 57.6847, 57.7338
0.000956, 42.003, 49.3788, 55.3724, 57.0671, 57.6817, 57.7308
0.00096, 42.0001, 49.3759, 55.3695, 57.0641, 57.6788, 57.7279
0.000964, 41.9971, 49.3729, 55.3665, 57.0612, 57.6758, 57.7249
0.000968, 41.9942, 49.37, 55.3636, 57.0582, 57.6729, 57.722
0.000972, 41.9912, 49.367, 55.3606, 57.0553, 57.6699, 57.719
